Tabela: 7, Linha: 5, Coluna: 2
Tabela: 7, Linha: 5, Coluna: 3
Tabela: 7, Linha: 5, Coluna: 4
Tabela: 7, Linha: 5, Coluna: 5
Tabela: 7, Linha: 5, Coluna: 6
Tabela: 7, Linha: 6, Coluna: 0
Tabela: 7, Linha: 6, Coluna: 1
Tabela: 7, Linha: 6, Coluna: 2
Tabela: 7, Linha: 6, Coluna: 3
Tabela: 7, Linha: 6, Coluna: 4
Tabela: 7, Linha: 6, Coluna: 5
Tabela: 7, Linha: 6, Coluna: 6
Tabela: 8, Linha: 2, Coluna: 1
Tabela: 8, Linha: 3, Coluna: 0
Tabela: 8, Linha: 3, Coluna: 1
Tabela: 8, Linha: 3, Coluna: 2
Tabela: 8, Linha: 3, Coluna: 3
Tabela: 8, Linha: 3, Coluna: 4
Tabela: 8, Linha: 3, Coluna: 5
Tabela: 8, Linha: 3, Coluna: 6
Tabela: 8, Linha: 4, Coluna: 0
Tabela: 8, Linha: 4, Coluna: 1
Tabela: 8, Linha: 4, Coluna: 2
Tabela: 8, Linha: 4, Coluna: 3
Tabela: 8, Linha: 4, Coluna: 4
Tabela: 8, Linha: 4, Coluna: 5
Tabela: 8, Linha: 4, Coluna: 6
Tabela: 8, Linha: 5, Coluna: 0
Tabela: 8, Linha: 5, Coluna: 1
Tabela: 8, Linha: 5, Coluna: 2
Tabela: 8, Linha: 5, Coluna: 3
Tabela: 8, Linha: 5, Coluna: 4
Tabela: 8, Linha: 5, Coluna: 5
Tabela: 8, Linha: 5, Coluna: 6
Tabela: 8, Linha: 6, Coluna: 0
Tabela: 8, Linha: 6, Coluna: 1
Tabela: 8, Linha: 6, Coluna: 2
Tabela: 8, Linha: 6, Coluna: 3
Tabela: 8, Linha: 6, Coluna: 4
Tabela: 8, Linha: 6, Coluna: 5
Tabela: 8, Linha: 6, Coluna: 6
Tabela: 8, Linha: 7, Coluna: 0
Tabela: 8, Linha: 7, Coluna: 1
Tabela: 8, Linha: 7, Coluna: 2
Tabela: 8, Linha: 7, Coluna: 3
Tabela: 8, Linha: 7, Coluna: 4
Tabela: 8, Linha: 7, Coluna: 5
