Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 0, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 0, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 0, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 0, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 0, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 0, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 1, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 9
